編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
12-78,月頭,ngiedˋ teuˋ,月初，每個月開始的那幾天。,,,副詞,,12時空與情狀副詞
12-79,原底,ngienˋ de^,舊有的，本有的。,,,副詞,,12時空與情狀副詞
12-80,年底,neenˋ de^,接近過年的時段，約為農曆11月底、12月初至過年前。,,,名詞,,12時空與情狀副詞
12-81,年尾人,neenˋ muiˇ nginˋ,"生日在11至12月的人；反之，生日在1至2月的人稱之「年頭人」。
例如：佢係年尾人，所以慢人一年入學。",他是年尾人，所以晚人家一年入學。,,名詞,,12時空與情狀副詞
12-82,此腔無此詞條,,,,,,,
12-83,...外,...nguai,"超過一些，大約之數。
例如：這個妹子䀴起來猶在讀書个款，驚二十外定。",這個女孩看起來還在讀書的樣子，可能二十出頭而已。,,副詞,,12時空與情狀副詞
12-84,內底,nui de^,裡面。,,,名詞,,12時空與情狀副詞
12-85,此腔無此詞條,,,,,,,
12-86,驚毋會,giangˇ mˇ moi,"揣測語氣，或許不會。
例如：阿哥後個月真像討出國，驚毋會轉來。",哥哥下個月很像要出國，大概不會回來。,,副詞,,12時空與情狀副詞
12-87,棚崠,pangˋ dung^,樓上或棚架上。,,,副詞,,12時空與情狀副詞
12-88,甫甫,pu^ pu^ ,"剛剛開始、約略之意，可用於指稱時間或程度。
例如：天正甫甫光，佢就去車頭坐車。",天才微微亮，他就去車站坐車。,,副詞,,12時空與情狀副詞
12-89,七暗八暗,cidˊ am^ beedˊ am^,"太晚了，已經接近夜晚。
例如：行較緊兜，莫行到七暗八暗猶吂到位。",走快一些，別走到三更半夜還沒到。,,形容詞,,12時空與情狀副詞
12-90,七早八早,cidˊ zoo^ beedˊ zoo^,"形容很早。
例如：佢蹛山底，逐晨早為着赴車，七早八早即愛跋起來。",他住山裡，每天早上為了趕車，一大早就要起床。,,形容詞,,12時空與情狀副詞
12-91,七晝八晝,cidˊ zhiu^ beedˊ zhiu^,"太遲了，比預期時間超過太久，一般用在上午時段。
例如：七早八早就準備，舞到七晝八晝猶吂好勢。",一大早就準備，弄到快中午還沒弄好。,,形容詞,,12時空與情狀副詞
12-92,千年萬年,cienˇ neenˋ bban neenˋ,千年萬年，形容時間很長久。,,,形容詞,,12時空與情狀副詞
12-93,盡命,cin miang,"竭盡心力地、拼命地。
例如：落大雨無抸雨傘，佢盡命走一路轉。",下大雨沒帶傘，他拼命跑回家。,,副詞,,12時空與情狀副詞
12-94,此腔無此詞條,,,,,,,
12-95,牆頭牆角（壁頭壁角）,ciongˋ teuˋ ciongˋ gooˊ(biaˊ teuˋ biaˊ gooˊ),"牆頭牆角。
例如：遐棟屋真久無人蹛啊，牆頭牆角攏係蜘蛛絲。",那棟房子很久沒人住了，牆頭牆角都是蜘蛛絲。,,名詞,,12時空與情狀副詞
12-96,自頭到尾,cu teuˋ doo^ muiˇ,從頭到尾、自始至終。,,,副詞,,12時空與情狀副詞
12-97,聲聲句句,shangˇ shangˇ gui^ gui^ ,口口聲聲。,,,名詞,,12時空與情狀副詞
12-98,此腔無此詞條,,,,,,,
12-99,此腔無此詞條,,,,,,,
12-100,成個月,shangˋ gooˊ ngiedˋ ,大約一個月。,,,副詞,,12時空與情狀副詞
12-101,此腔無此詞條,,,,,,,
12-102,此腔無此詞條,,,,,,,
12-103,成點鐘,shangˋ deem^ zhungˇ,一個鐘頭左右。,,,副詞,,12時空與情狀副詞
12-104,上站,shong cam,前一段日子。,,,形容詞,,12時空與情狀副詞
12-105,進前,zin^ cienˋ,"稍早、早先；指很早以前，甚至是古代。
例如：進前𠊎正拁你講了定，你又添放啊。
例如：進前个人，有通食就愛偷笑啊。","早先我才跟你說完，你又忘了。
以前的人，有得吃就可以偷笑了。",,名詞,,12時空與情狀副詞
12-106,樹頭下,shi teuˋ haˇ,樹下。,,,副詞,,12時空與情狀副詞
12-107,脣頭,finˋ teuˋ,"旁邊。
例如：這張桌脣頭無捽淨，愛擱捽一遍。",這張桌子邊邊沒擦乾淨，要再擦一遍。,,副詞,,12時空與情狀副詞
12-108,透長年,teu^ chongˋ neenˋ,"經年累月。
例如：佢透長年在外國做生理，單單過年掛紙正會轉來臺灣。",他經年累月在國外做生意，只有過年掃墓才會回臺灣。,,副詞,,12時空與情狀副詞
12-109,透日,teu^ ngidˊ,整天。另例如「透夜」即為整夜之意、「透當晝」即為徹午之意。,,,副詞,,12時空與情狀副詞
12-110,此腔無此詞條,,,,,,,
12-111,頭頭下,teuˋ teuˋ ha,"第一次、剛開始的時候。
例如：頭頭下大家攏䀴佢無半撇，落尾正知佢係大腳數。",剛開始的時候大家都瞧不起他，後來才知道他是個大人物。,,副詞,,12時空與情狀副詞
12-112,天大光,teenˇ tai gongˇ,"天已亮，喻時間不早了。
例如：天大光猶毋起來，你想討睡到日頭炙屎朏係無？",天色大白還不起床，你想要睡到太陽晒屁股是嗎？,,形容詞,,12時空與情狀副詞
12-113,往時,bbong^ shiˋ,以往、往昔。,,,副詞,,12時空與情狀副詞
12-114,屋脣屋角,bbuˊ finˋ bbuˊ gooˊ,"房屋四周。
例如：屋脣屋角个草愛挷得佢淨，正毋會藏蛇。",房屋四周的草要拔乾淨，才不會藏蛇。,,副詞,,12時空與情狀副詞
12-115,溫溫仔,bbunˇ bbunˇ aˋ,隱隱地、微微的。例「心肝窟溫溫仔疾」。,心裡頭隱隱作痛。,,形容詞,,12時空與情狀副詞
12-116,四角頭,si^ gooˊ teuˋ,"四周。
例如：這坵田个四角頭攏有風圍，真恬風。",這塊田的四周都有防風林，沒什麼風。,,副詞,,12時空與情狀副詞
12-117,此腔無此詞條,,,,,,,
12-118,打先,da^ sienˇ,"先前。
例如：打先講个無算數，這下講个正算。",先前講的不算，現在說的才算。,,副詞,,12時空與情狀副詞
12-119,早早,zoo^ zoo^,"很早以前。
例如：早早即拁你講過，你就毋信，這滿錢得人惑淨淨愛仰子正好？",早就跟你說過，你就不信，現在錢被騙光光該怎麼辦？,,副詞,,12時空與情狀副詞
12-120,早早,zoo^ zoo^,"還早得很。
例如：你講事恁直，得人賣去來食早猶早早。",你講話這麼直白，被人賣了再來吃早餐還早得很。,,形容詞,,12時空與情狀副詞
12-121,此腔無此詞條,,,,,,,
12-122,竹頭下,zhuˊ teuˋ haˇ,竹林下。,,,名詞,,12時空與情狀副詞
12-123,總係會,zung^ he bbue,總會，總是會。,,,副詞,,12時空與情狀副詞
12-124,總愛,zung^ oi^ ,"總要，好歹要。
例如：生理買賣總愛雙方心甘意願，正做會成。",生意買賣總要雙方心甘情願，才做得成。,,動詞,,12時空與情狀副詞
12-125,總會,zung^ bbue,"總會、一定會。
例如：較認真做，總會成功。",勤奮些工作，總會成功。,,動詞,,12時空與情狀副詞
12-126,此腔無此詞條,,,,,,,
13-1,阿依哦,aˇ i ooˇ,我的媽呀。,,,短語,,13特殊詞類
13-2,全然好,cienˋ rhenˋ hoo^,相當好、蠻好，多用在正面。例「今日个生理全然好」。,今天的生意相當好。,,副詞,,13特殊詞類
13-3,囥無位,kong^ moˋ bbi,"沒有適當處所可放置。
例如：間房忒細，買過新眠床，這頂舊个就囥無位去，愛仰子？",房間太小，買了新床，這舊的就沒有適當處所可放，該怎麼辦？,,短語,,13特殊詞類
13-4,本底,bun^ de^,"起初，原本。
例如：這件事頭本底係阿貴負責个，佢退休過後，就換阿光來接手。",這件事原本是阿貴負責的，他退休過後，就換阿光來接手。,,副詞,,13特殊詞類
13-5,打頭尾,da^ teuˋ muiˇ,殿後；最後。,,,短語,,13特殊詞類
13-6,倒頭講,doo^ teuˋ gong^,"說反了。
例如：你倒頭講啦，應該係按...正著。",你說反了，應該是這樣...才對。,,虛詞,,13特殊詞類
13-7,多少,dooˇ shiooˆ,"或多或少、一點點。
例如：這滿尋頭路，多少愛會講英文。",現在找工作，或多或少要會說英文。,,副詞,,13特殊詞類
13-8,丁丁噹噹,tin tin tang tang,"悄聲細語說話而且話多不停的樣子。
例如：佢兩儕歸路丁丁噹噹，直直講到屋下。",他們兩個一路上悄聲細語說著話，一直說到家裡。,,動詞,,13特殊詞類
13-9,捽那位去,zudˋ ni bbi kui^,"混雜到那裡去了。
例如：擱十分鐘即討落車啊，你个車票捽那位去啊？猶毋較緊揙出來。",再十分鐘就要下車了，你的車票弄到那裡去了？還不快點翻找出來。,,短語,,13特殊詞類
13-10,此腔無此詞條,,,,,,,
13-11,該當,gaiˇ/goiˇ dongˇ,"應當。
例如：該當愛繳个錢，猶係較早繳繳个正好。",應當要繳的錢，還是早點先去繳清才好。,,副詞,,13特殊詞類
13-12,講着,gong^ choo,"一說到，一談起…。
例如：講着佢這個人，講三日三夜嘛講毋會煞。",一談起他這個人，說個三天三夜也說不完。,,虛詞,,13特殊詞類
13-13,講去講轉,gong^ kui^ gong^ zheen^,說來說去。,,,虛詞,,13特殊詞類
13-14,講即按講,gong^ cidˋ anˊ gong^,"說是這麼說。
例如：選某人做村長，講即按講，佢敢有才調？",選某人做村長，說是這樣說，他可有才能？,,虛詞,,13特殊詞類
13-15,罕得,han^ dedˊ,"難得、不常。
例如：你罕得來，當晝㓾雞請你。",你難得來，中午殺雞請你。,,虛詞,,13特殊詞類
13-16,猶擱,iaˋ/iauˋ goo,"更...甚至。
例如：阿明伯㜷厥新婦，毋單打拚猶擱真知大細，真有人緣。",阿明伯母的媳婦，不只勤奮還很懂得上下尊卑，很有人緣。,,虛詞,,13特殊詞類
13-17,猶擱有,iaˋ/iauˋ gooˊ rhiuˇ,又，還有。,,,虛詞,,13特殊詞類
13-18,行無幾會去,hangˋ moˋ gidˊ bbue kui^,"不太能走。此句式有「食無幾會落」、「走無幾會去」等，必須與動詞搭配使用。
例如：腳扭着，行無幾會去。",腳拐到，不太能走。,,動詞,,13特殊詞類
13-19,起勢,ki^ she^,"開頭、起始。
例如：這滿个學生對讀小學起勢，即愛學英文。",現在的學生從上小學開始，就要學英文。,,副詞,,13特殊詞類
13-20,此腔無此詞條,,,,,,,
13-21,有麼个搭碓,rhiuˇ bbooˊ gai^ dabˊ doi^,"有什麼意思。
例如：事情變做按，這滿講恁多有麼个搭碓？",事情變成這樣，現在說那麼多有什麼意思？,,短語,,13特殊詞類
13-22,借還借,ziaˊ fanˋ ziaˊ,"借歸借。
例如：借還借，猶係愛打契約。",借歸借，還是要簽契約。,,短語,,13特殊詞類
13-23,確實毋會差,kooˊ shidˋ mˇ moi caˇ,"確實沒錯。
例如：人講「遠親不如近鄰」，確實毋會差！",有人說「遠親不如近鄰」，真的沒錯！,,短語,,13特殊詞類
13-24,賽毋會好,cee^ mˇ moi hoo^,"一直弄不好。
例如：這手機賽恁久猶賽毋會好，𠊎䀴無效啊！",這手機弄那麼久還弄不好，我看是沒用了！,,動詞,,13特殊詞類
13-25,無堵好,moˋ du^ hoo^,"不湊巧。
例如：恁無堵好！阿良佢歸火灶出國去尞啊。",這麼不巧！阿良他們一家人出國去玩了。,,副詞,,13特殊詞類
13-26,無就,moˋ ciu,"不然的話。
例如：好得你提醒，無就壞啊！",幸好你提醒，不然就糟糕了！,,虛詞,,13特殊詞類
13-27,無即,moˋ cidˋ,"否則、可是會…。
例如：做人毋好自私，無即會得人嫌到臭漦。
Excel修正即可例句…統一",做人不要自私，否則可是會被嫌到臭頭。,,虛詞,,13特殊詞類
13-28,無嗄,moˋ sa^,"或然之詞，有「別讓他...」的意思。
例如：討得人个物件要先準備便，無嗄到時添放去。",要給人家的東西先準備好，不要到時候卻忘記。,,虛詞,,13特殊詞類
13-29,罔講,mong^ gong^,"隨口說說。
例如：無啦！你莫忒認真，𠊎罔講定啦！",沒有啦！你別當真，我隨口說說而已啦！,,動詞,,13特殊詞類
13-30,𠊎嗄毋知,ngaiˋ sa^ mˇ diˇ,"我怎會不知道！
例如：𠊎嗄毋知！問題係愛仰子去做，遐較要緊啊！",我怎麼不知道！問題是要怎樣去做，那比較重要啊！,,短語,,13特殊詞類
13-31,普普,pu^ pu^ ,"約略的。
例如：阿文搬走真久啊，這下猶普普知佢生做無真高。",阿文搬走很久了，現在還約略的知道他長得沒很高。,,副詞,,13特殊詞類
13-32,親像,cinˇ ciong,猶如，好像。,,,虛詞,,13特殊詞類
13-33,續落來,suaˆ loo loiˋ,"接下來、接續著。
例如：佢講煞，續落來換你。",他說完，接下來換你。,,虛詞,,13特殊詞類
13-34,成…,shangˋ,"大約（必須接在量詞之前），不到…。
例如：這包黃豆大概有成斤重。",這包黃豆大概有一斤重左右。,,副詞,,13特殊詞類
13-35,十二月甘蔗,shibˋ ngi ngiedˋ gamˇ zha^,十二月為甘蔗之產期，生產之甘蔗頭尾每節都很甜，藉此比喻兩頭甜（歇後語）。,,,短語,,13特殊詞類
13-36,十做九無成,shibˋ zoo^ giu^ moˋ shinˋ,"十有九件做不成功。
例如：十做九無成，做到心虛虛。",十做九不成，做得心慌慌。,,短語,,13特殊詞類
13-37,算起來,son^ ki^ loiˋ,"到底；算起來。
例如：你這嘛無愛，遐嘛無愛，算起來想愛仰子？
例如：出業到今，算起來嘛有二十年啊！","你這又不要，那也不要，到底想要怎樣？
畢業到現在，算起來也有二十年了呀！",,副詞,,13特殊詞類
13-38,隨在你,suiˋ cai henˋ,"任憑你。
例如：飯在電鑊內底，討食毋食隨在你。",飯在電鍋裡，愛吃不吃隨你便。,,短語,,13特殊詞類
13-39,停動著,tinˇ tungˇ choo,"動輒，動不動就…。
例如：食到恁大漢啊，停動著即唩，真褻衰。",長那麼大了，動不動就哭，真丟人。,,短語,,13特殊詞類
13-40,會知,bbue diˇ,"怎知如何？
例如：後禮拜考試，會知佢準備好吂？",下禮拜考試，怎知他準備好沒？,,短語,,13特殊詞類
13-41,此腔無此詞條,,,,,,,
13-42,照理講,zhioo^ li^ gong^ ,照道理講。,,,虛詞,,13特殊詞類
13-43,哪會毋知,na bbue mˇ diˇ,"怎會不知道呢？
例如：哪會毋知？這件案敢毋係你負責个？",怎會不知道呢？這案子難道不是你負責的？,,短語,,13特殊詞類
13-44,啐啐咈,cudˊ cudˊ bui^,狀聲詞，表驚奇、感嘆、讚嘆、嘆息之語氣。,,,虛詞,,13特殊詞類
13-45,準堵好,zhun^/zhin^ du^ hoo^,"將就、姑且如此。
例如：準備討收擔啊，這伸个蓮霧準堵好賣你一百箍啦！",準備要收攤了，這剩下的蓮霧將就賣你一百元啦！,,短語,,13特殊詞類
14-1,飆車,biooˇ chaˇ,飆車。,,,動詞,,14通訊、建設與交通
14-2,䃗塍,booˊ shinˋ,"旱地上為水土保持所築的隄防。
例如：做䃗塍、水壩愛用着真多石頭。",築堤防、水壩要用到很多石頭。,,名詞,,14通訊、建設與交通
14-3,鏨子,cam zu^,鑿刻金石的工具。,,,名詞,,14通訊、建設與交通
14-4,鏨空,cam kungˇ,以鐵鑿鑽孔。,,,動詞,,14通訊、建設與交通
14-5,鏨字,cam cu,用鐵鑿鐫字。,,,動詞,,14通訊、建設與交通
14-6,打井,da^ ziang^,"鑿井。
例如：有心打石石成磚，無心打井井無泉。（諺）",有心鑿石石成磚，無心鑿井井無泉。,,動詞,,14通訊、建設與交通
14-7,鬥緪,deu^ anˋ,"使它緊密結合。
例如：凳个楯頭愛鬥緪，正毋會搖。",椅子的卡榫要卡緊，才不會搖動。,,動詞,,14通訊、建設與交通
14-8,店亭,deem^ tenˋ,騎樓。,,,名詞,,14通訊、建設與交通
14-9,斷水,tonˇ fi^,"把水阻擋起來，使它不能繼續流動。
例如： 成擺个人斷水用泥，現時个人斷水用紅泥。",以前人堵水用泥土，現在人堵水用水泥。,,動詞,,14通訊、建設與交通
14-10,火車廂,foo^ chaˇ siongˇ,火車車廂。,,,名詞,,14通訊、建設與交通
14-11,抹壁,madˊ biaˊ,"塗飾牆壁。
例如：成過人起屋，會用石灰來抹壁。",以前人蓋房子，會用石灰來塗飾牆壁。,,動詞,,14通訊、建設與交通
14-12,青紅燈,ciangˇ fungˋ denˇ,紅綠燈。,,,名詞,,14通訊、建設與交通
14-13,古蹟,gu^ zidˊ,古蹟。,,,名詞,,14通訊、建設與交通
14-14,涵空,hamˋ kungˇ,涵洞，道路與河道、排水溝相交會時，所預留的空間，用來通水的暗渠或暗管。,,,名詞,,14通訊、建設與交通
14-15,尖車,ziamˇ chaˇ,"形容車輛擁擠的狀態；硬擠上車。
例如：晨早公車崠攏係淰淰个人，真尖車。
例如：討赴毋會着啊！無尖車毋會用！","早上公車上都是滿滿的人，車裡很擠。
要遲到了！不擠上車不行！",,形容詞,動詞,14通訊、建設與交通
14-16,索道,sooˊ too,纜車。,,,名詞,,14通訊、建設與交通
14-17,路尾,lu muiˇ,"路的終點。
例如：佢个田在遐路尾，你大約行五分鐘即會到位。",他的田在那路的終點，你大約走五分鐘就會到。,,名詞,,14通訊、建設與交通
14-18,泥漿水,niˋ ziongˇ fi^,"泥漿水。
例如：做大水个時務，這溪做一下攏係泥漿水。",發生水災的時候，這河全都是泥漿水。,,名詞,,14通訊、建設與交通
14-19,白鐵,pa teedˊ,不鏽鋼。,,,名詞,,14通訊、建設與交通
14-20,塞車,cedˊ chaˇ,塞車。,,,動詞,,14通訊、建設與交通
14-21,食油,shiedˋ rhiuˋ,"耗油。
例如：這臺車駛三十年啊，越來越食油，敢愛換過一臺？",這臺車開三十年了，越來越耗油，是否該換一臺？,,動詞,,14通訊、建設與交通
14-22,食電,shiedˋ teen,"耗電。
例如：電爐真食電，猶係用電鑊較贏。",電爐很耗電，還是用電鍋比較好。,,動詞,,14通訊、建設與交通
14-23,電火柱,teen foo^ tiauˇ/teeuˇ,電線桿。,,,名詞,,14通訊、建設與交通
14-24,相閃,siongˇ shiam^/shamˆ,會車、錯車，兩輛車交會而過。猶言「相閃車」。,,,動詞,,14通訊、建設與交通
14-25,相碰,siongˇ bong,"互撞。
例如：佢兩儕相碰，聽講車碰到綿綿，真得人驚。",他倆互撞，聽說車子撞得稀爛，好可怕。,,動詞,,14通訊、建設與交通
14-26,圳溝,zhin^ geuˇ,水渠、溝渠。,,,名詞,,14通訊、建設與交通
14-27,此腔無此詞條,,,,,,,
15-1,拜門口,bai^ munˋ keu^,"在門口拜拜，指中元節在家中辦理普渡。
例如：七月半，阿依會準備真多祭品拜門口。",中元節，媽媽會準備很多祭品在家門前普渡。,,動詞,,15歲時祭儀、習俗與宗教
15-2,報喪,boo^ songˇ,"報喪。
例如：屋下有人過身，孝子愛請人去外家報喪。",家裡有人去世，孝子要請人去女主人的娘家報喪。,,名詞,,15歲時祭儀、習俗與宗教
15-3,傳代,cheenˋ toi,"傳宗接代。
例如：阿明係單丁子，為着愛傳代，真早即結婚啊。",阿明是獨子，為了要傳宗接代，很早就結婚了。,,動詞,,15歲時祭儀、習俗與宗教
15-4,抽籤卜卦,chiuˇ ciamˇ buˊ gua^,"抽籤卜卦。
例如：這事業毋知會做个無，來去廟抽籤卜卦，請示神明下。",這事業不知能做否，到廟裡抽個籤卜個卦，請示一下神明。,,動詞,,15歲時祭儀、習俗與宗教
15-5,出丁,chidˊ denˇ,"原指會生育男孩，後喻家族人丁興旺之意。
例如：地理仙講，這屋場風水真好，會出丁。",地理師說，這房子風水環境很好，家族會興旺。,,動詞,,15歲時祭儀、習俗與宗教
15-6,出桌,chidˊ zooˊ,"把菜端出桌，準備開筵。
例如：人客一到，阿公跈个即喝出桌。",客人一到，爺爺馬上就喊準備開飯。,,動詞,,15歲時祭儀、習俗與宗教
15-7,打頭陣,da^ teuˋ chin,"打頭陣。
例如：食飯喊𠊎打頭陣無要緊，冤家个事𠊎毋插你哦！",吃飯叫我打頭陣沒關係，吵架的事我可不管你喔！,,形容詞,,15歲時祭儀、習俗與宗教
15-8,恩主公,enˇ/bbunˇ zhi^ gungˇ,"一般指關公，也就是關聖帝君。
例如：恩主公係武財神，有个店頭會服祀佢。",關聖帝君是武財神，有些店家會供奉祂。,,動詞,,15歲時祭儀、習俗與宗教
15-9,訃聞,fu^ bbunˋ,"訃聞，報告喪事的柬帖。
例如：無䀴着訃聞，𠊎猶係毋相信佢無在啊！",沒看到訃聞，我還是不相信他去世了！,,動詞,,15歲時祭儀、習俗與宗教
15-10,魂魄,funˋ paˊ,"魂魄。
例如：一日到暗嚇𠊎，早慢𠊎个魂魄會得你收去。",一天到晚嚇我，早晚我的魂魄會被你收了。,,名詞,,15歲時祭儀、習俗與宗教
15-11,糕盆,gooˇ punˋ,"米粄或糕疊盆，如今日的罐頭塔。
例如：家祭个時，親族會送糕盆來祭拜。",家祭時，親族會送糕盆來祭拜。,,名詞,,15歲時祭儀、習俗與宗教
15-12,吉日,gidˊ ngidˊ,"吉日、好日子。
例如：後個月初二係吉日，𠊎依會喊媒人去你屋下講親。",下個月初二是好日子，我媽媽會請媒人到你家提親。,,名詞,,15歲時祭儀、習俗與宗教
15-13,敬天公,gin^ teenˇ gungˇ,"拜天公，相同說法如「敬伯公」為以牲果敬拜土地公、「敬公媽」為祭拜祖先、「敬神」為祭拜神明。
例如：舊曆正月初九天公生，阿依會準備素果敬天公。",農曆正月初九玉皇大帝生日，媽媽會準備水果祭拜天公。,,名詞,,15歲時祭儀、習俗與宗教
15-14,過年過節,goo^ neenˋ goo^ ziedˊ,"逢年過節。
例如：成過愛等到過年過節阿依正會做粄。",以前要等到逢年過節媽媽才會做粄。,,名詞,,15歲時祭儀、習俗與宗教
15-15,講親,gong^ cinˇ,"提親。
例如：阿怙請媒人去阿碌伯屋下講親。",爸爸請媒人到阿碌伯家提親。,,動詞,,15歲時祭儀、習俗與宗教
15-16,講四句,gong^ si^ gui^,"在婚喪喜慶的場合說有韻的四句吉祥話。
例如：伯公个字墨頭飽，講四句隨口來。",伯公飽讀詩書，隨口就能說四句的吉祥話。,,副詞,,15歲時祭儀、習俗與宗教
15-17,光明燈,gongˇ menˋ denˇ,"廟宇祈福消災點的不熄燈火。
例如：阿哥今年犯太歲，阿依年初即替佢去廟點光明燈。",哥哥今年犯太歲，媽媽年初就替他在廟裡點光明燈。,,動詞,,15歲時祭儀、習俗與宗教
15-18,掛紙,gua^ zhi^,"掃墓。
例如：客人在正月半過後，即會用開始掛紙啊！",客家人在元宵節過後，就可以開始掃墓了！,,動詞,,15歲時祭儀、習俗與宗教
15-19,出嫁,chidˊ ga^,"出嫁。
例如：這下个人較少在出嫁遐日唩啊！",現代人較少在出嫁當天哭泣了！,,名詞,,15歲時祭儀、習俗與宗教
15-20,燒香,shiooˇ hiongˇ,"舉香祭拜。
例如：阿媽堵着初一、十五攏會去廟燒香。",祖母遇到初一、十五都會到廟裡上香。,,動詞,,15歲時祭儀、習俗與宗教
15-21,行春,hangˋ chinˇ,"（過年後的）踏春。
例如：𠊎屋下人過年行春，大討會去廟點香祈福。",我的家人在過年時踏春，大多會到廟裡點香祈福。,,動詞,,15歲時祭儀、習俗與宗教
15-22,許福,hi^ fuˊ,"祈福。
例如：許福在年頭，還福在年尾。",祈福在年頭，還願在年尾。,,動詞,,15歲時祭儀、習俗與宗教
15-23,廟公,mio gungˇ,"廟祝。
例如：𠊎公自少年即做廟公到今。",我爺爺從年輕時就當廟祝直到現在。,,動詞,,15歲時祭儀、習俗與宗教
15-24,香籃,hiongˇ lamˋ,"暫放靈位之籃子。
例如：今年討上龕尋無好日，高不將先吊香籃。",今年要入祖先牌位找不到吉日，只好先用香籃吊著。,,名詞,,15歲時祭儀、習俗與宗教
15-25,好年冬,hoo^ neenˋ dungˇ,"年成好、好的年歲。
例如：食空空，好年冬。（諺）",吃光光，好年歲。,,名詞,,15歲時祭儀、習俗與宗教
15-26,好否事（好歹事）,hoo^ painn^ su,"喜事與喪事。
例如：成過人堵着好否事（好歹事）抑係討去遠位，大討會先䀴農民曆擇一個良時吉日。",以前的人遇到喜事與喪事或者要去遠方，多半會先看農民曆選一個良辰吉日。,,名詞,,15歲時祭儀、習俗與宗教
15-27,祭奠,ze^ teen,"靈前或墓前擺設供品並祭弔死者。
例如：去靈堂祭奠个時務，愛著深色个衫褲。",去靈堂祭奠的時候，要穿深色的衣服。,,名詞,,15歲時祭儀、習俗與宗教
15-28,節氣,ziedˊ ki^,"節氣。
例如：節氣行到三伏天，自家愛較注意兜仔。",節氣運行到三伏天，自己要多加小心。,,動詞,,15歲時祭儀、習俗與宗教
15-29,求神託佛,kiuˋ shinˋ tooˊ fudˋ,"求神拜佛、祈請保佑。
例如：厥丈夫傷到真食力，佢滿哪位求神託佛，希望佢攔緊好起來。",她老公傷得很嚴重，她到處求神拜佛，盼望他趕快好起來。,,名詞,,15歲時祭儀、習俗與宗教
15-30,開鑼,koiˇ looˋ,"開鑼，法事儀式之一。
例如：開鑼啊！攔緊行偎去。",開鑼囉！快點兒靠過去。,,動詞,,15歲時祭儀、習俗與宗教
15-31,䀴日,ngiang^ ngidˊ,"擇定吉日良辰。
例如：矺定了，會用䀴日啊！",下完聘，可以擇定吉日了！,,動詞,,15歲時祭儀、習俗與宗教
15-32,䀴地理,ngiang^ ti li^,"堪輿，看風水。
例如：䀴地理佢真專業，你屋下風水有問題尋佢即著啊。",看風水他很專業，你家墓地有問題找他就對了。,,動詞,,15歲時祭儀、習俗與宗教
15-33,龍脈,liungˋ maˊ,"龍脈。
例如：地理先生講，厥屋下後背山龍脈真靚，後次擺子孫會出𠢕人。",風水師說，他家後面山的龍脈很漂亮，以後子孫會出能人。,,名詞,,15歲時祭儀、習俗與宗教
15-34,龍神,liungˋ shinˋ,"龍神，為客家信仰的神祇之一，奉祀於正廳神桌中央底下。
例如：𠊎个舊屋正身廳下个神桌下，到今都猶有服祀龍神。",我的老家正廳的神桌下方，至今都還有供奉龍神。,,名詞,,15歲時祭儀、習俗與宗教
15-35,長衫,chongˋ samˇ,"壽衣。
例如：新時代个人，過身嘛毋使著傳統个長衫啊。",新時代的人，過世也不用穿傳統的壽衣了。,,名詞,,15歲時祭儀、習俗與宗教
15-36,媒人,moiˋ nginˋ,"媒人，或針對女性稱「媒人婆」。
例如：阿弟今日渡新婦，係伯㜷做个媒人。",弟弟今天娶老婆，是伯母做的媒人。,,名詞,,15歲時祭儀、習俗與宗教
15-37,魍神仔,mong^ shinˋ aˋ,"魑魅魍魎。
例如：成過山底，有真多人得魍神仔牽去个傳說。",以前山裡，有很多人被魑魅魍魎牽走的傳說。,,名詞,,15歲時祭儀、習俗與宗教
15-38,母親節,bbuˇ cinˇ ziedˊ,"母親節。
例如：過母親節愛誠心誠意感恩，毋係單單食雞卵糕即好。",過母親節要誠心誠意感恩，不是光吃蛋糕就好。,,名詞,,15歲時祭儀、習俗與宗教
15-39,此腔無此詞條,,,,,,,
15-40,抽籤,chiuˇ ciamˇ,"本意為卜卦算命之意，後用於到廟裡抽籤求神問事之行為。
例如：事情無幾順，𠊎想來去廟抽籤，䀴哪位爭差。",事情不太順利，我想到廟裡抽個籤，看問題出在哪裡。,,動詞,,15歲時祭儀、習俗與宗教
15-41,迎鬧熱,ngiangˋ nau ngiedˋ,"迎神賽會。
例如：正月初三𠊎這莊迎鬧熱，來得𠊎請哦！",正月初三我們村裡有迎神賽會，來讓我請喔！,,動詞,名詞,15歲時祭儀、習俗與宗教
15-42,入年假,ngibˋ neenˋ ga^,"開始進入春節假期。年假指陰曆十二月二十五到翌年正月初五，為傳說中的年獸下凡活動期間。而正月初五即為「出年假」。
例如：入年假以後，剃頭就愛起價啊。",開始進入春節假期以後，理髮就要漲價了。,,動詞,,15歲時祭儀、習俗與宗教
15-43,安太歲,onˇ tai^ sue^/seˆ,"安太歲。
例如：今年肖豬个犯太歲，愛記得去安太歲哦！",今年生肖屬豬的犯太歲，要記得去安太歲喔！,,動詞,,15歲時祭儀、習俗與宗教
15-44,安胎,onˇ toiˇ,"安胎。
例如：年歲恁大正有身，愛好好安胎哦！",年紀那麼大才懷孕，要好好安胎喲！,,動詞,,15歲時祭儀、習俗與宗教
